"species","plot","abundance"
"Vicia lathyroides","Plot_43",2
"Gymnocarpium robertianum","Plot_14",2
"Ribes uva-crispa","Plot_24",1
"Barbula unguiculata","Plot_12",1
"Barbula unguiculata","Plot_42",3
"Barbula unguiculata","Plot_49",1
"Scabiosa ochroleuca","Plot_9",2
"Scabiosa ochroleuca","Plot_13",2
"Scabiosa ochroleuca","Plot_36",2
"Scabiosa ochroleuca","Plot_37",2
"Scabiosa ochroleuca","Plot_41",2
"Scabiosa ochroleuca","Plot_42",3
"Scabiosa ochroleuca","Plot_43",3
"Scabiosa ochroleuca","Plot_45",1
"Scabiosa ochroleuca","Plot_50",2
"Polygonatum odoratum","Plot_19",1
"Astragalus glycyphyllos","Plot_40",3
"Vincetoxicum hirundinaria","Plot_28",2
"Vincetoxicum hirundinaria","Plot_40",3
"Vincetoxicum hirundinaria","Plot_41",2
"Medicago sativa","Plot_38",1
"Daucus carota","Plot_21",2
"Festuca rubra aggr.","Plot_41",3
"Cladonia foliacea","Plot_39",1
"Cladonia foliacea","Plot_46",13
"Cladonia rangiformis","Plot_43",3
"Lotus corniculatus aggr.","Plot_33",1
"Lotus corniculatus aggr.","Plot_39",1
"Lotus corniculatus aggr.","Plot_47",1
"Scorzonera austriaca","Plot_33",1
"Geranium sanguineum","Plot_9",3
"Geranium sanguineum","Plot_13",3
"Orthotrichum cupulatum","Plot_27",2
"Ptychostomum moravicum","Plot_12",1
"Homalothecium lutescens","Plot_19",13
"Homalothecium lutescens","Plot_45",1
"Homalothecium lutescens","Plot_50",3
"Potentilla collina aggr.","Plot_35",1
"Erysimum rhaeticum","Plot_21",2
"Erysimum rhaeticum","Plot_44",2
"Dicranum scoparium","Plot_22",2
"Ceratodon purpureus","Plot_1",2
"Ceratodon purpureus","Plot_9",3
"Ceratodon purpureus","Plot_13",3
"Ceratodon purpureus","Plot_15",3
"Ceratodon purpureus","Plot_20",13
"Ceratodon purpureus","Plot_32",13
"Ceratodon purpureus","Plot_35",13
"Ceratodon purpureus","Plot_36",13
"Ceratodon purpureus","Plot_39",13
"Ceratodon purpureus","Plot_49",1
"Biscutella laevigata","Plot_17",3
"Polypodium vulgare aggr.","Plot_12",1
"Gagea bohemica","Plot_32",2
"Grimmia sp.","Plot_32",3
"Grimmia sp.","Plot_49",1
"Vicia sativa","Plot_38",1
"Urtica dioica","Plot_16",2
"Urtica dioica","Plot_18",3
"Origanum vulgare","Plot_21",2
"Origanum vulgare","Plot_24",2
"Myosotis arvensis aggr.","Plot_12",1
"Myosotis arvensis aggr.","Plot_40",2
"Leucodon sciuroides","Plot_17",2
"Galium verum aggr.","Plot_38",3
"Galium verum aggr.","Plot_39",1
"Galium verum aggr.","Plot_50",2
"Agrostis capillaris","Plot_41",2
"Racomitrium lanuginosum","Plot_1",2
"Sedum rupestre","Plot_5",13
"Sedum rupestre","Plot_15",38
"Sedum rupestre","Plot_20",13
"Sedum rupestre","Plot_43",2
"Rosa sp.","Plot_5",1
"Lamium purpureum","Plot_12",1
"Cerastium semidecandrum","Plot_33",1
"Cerastium semidecandrum","Plot_43",3
"Peucedanum oreoselinum","Plot_19",1
"Peucedanum oreoselinum","Plot_43",2
"Galeopsis ladanum","Plot_5",2
"Galeopsis ladanum","Plot_15",3
"Euphorbia amygdaloides","Plot_2",1
"Prunus mahaleb","Plot_33",1
"Carlina vulgaris aggr.","Plot_34",1
"Pilosella cymosa aggr.","Plot_5",1
"Pseudoleskeella catenulata","Plot_27",3
"Viola tricolor","Plot_21",1
"Berberis vulgaris","Plot_19",1
"Berberis vulgaris","Plot_40",2
"Odontarrhena tortuosa aggr.","Plot_47",1
"Minuartia laricifolia","Plot_31",13
"Verbascum thapsus","Plot_37",3
"Thalloidima sedifolium","Plot_17",2
"Vicia grandiflora","Plot_12",1
"Pinus nigra","Plot_39",1
"Brachythecium albicans","Plot_28",3
"Brachythecium albicans","Plot_35",3
"Brachythecium albicans","Plot_39",2
"Protoparmeliopsis muralis","Plot_27",2
"Nonea pulla aggr.","Plot_47",1
"Geranium rotundifolium","Plot_12",3
"Erigeron annuus","Plot_47",1
"Grimmia pulvinata","Plot_27",13
"Grimmia pulvinata","Plot_34",1
"Grimmia pulvinata","Plot_44",2
"Grimmia pulvinata","Plot_46",1
"Minuartia glaucina","Plot_33",1
"Thymus moldavicus","Plot_46",3
"Alliaria petiolata","Plot_24",1
"Medicago lupulina","Plot_36",1
"Viola hirta","Plot_12",1
"Viola hirta","Plot_40",2
"Verbascum phlomoides aggr.","Plot_20",2
"Helianthemum nummularium","Plot_19",3
"Helianthemum nummularium","Plot_42",3
"Koeleria pyramidata aggr.","Plot_19",1
"Koeleria pyramidata aggr.","Plot_42",3
"Campanula persicifolia","Plot_24",2
"Arabidopsis thaliana","Plot_41",2
"Inula oculus-christi","Plot_38",1
"Sedum sp.","Plot_11",2
"Grimmia tergestina","Plot_27",2
"Galeopsis tetrahit aggr.","Plot_18",2
"Erigeron canadensis","Plot_1",3
"Catapyrenium rufescens","Plot_17",2
"Potentilla heptaphylla","Plot_36",13
"Potentilla heptaphylla","Plot_50",3
"Onobrychis arenaria","Plot_45",1
"Rhamnus saxatilis","Plot_33",1
"Flexitrichum flexicaule","Plot_10",13
"Flexitrichum flexicaule","Plot_22",13
"Flexitrichum flexicaule","Plot_27",2
"Flexitrichum flexicaule","Plot_39",2
"Agrimonia eupatoria aggr.","Plot_47",1
"Campanula trachelium","Plot_24",3
"Cota tinctoria","Plot_47",2
"Ajuga genevensis","Plot_16",2
"Encalypta streptocarpa","Plot_27",2
"Seseli libanotis","Plot_2",1
"Taraxacum sect. Taraxacum","Plot_6",1
"Galium lucidum","Plot_19",1
"Hornungia petraea","Plot_33",1
"Hieracium racemosum","Plot_15",2
"Asperula cynanchica aggr.","Plot_39",1
"Asperula cynanchica aggr.","Plot_49",1
"Hedwigia ciliata","Plot_28",2
"Hedwigia ciliata","Plot_32",2
"Arabis hirsuta aggr.","Plot_36",1
"Arabis hirsuta aggr.","Plot_38",1
"Salvia pratensis aggr.","Plot_6",1
"Galium boreale","Plot_42",3
"Eryngium campestre","Plot_38",1
"Eryngium campestre","Plot_49",1
"Potentilla recta aggr.","Plot_12",1
"Acer pseudoplatanus","Plot_24",2
"Pilosella piloselloides aggr.","Plot_47",3
"Collema sp.","Plot_27",2
"Sorbus aria aggr.","Plot_30",2
"Bryum sp.","Plot_37",3
"Bryum sp.","Plot_39",1
"Bryum sp.","Plot_50",3
"Allium vineale","Plot_35",3
"Cladonia pyxidata","Plot_25",13
"Cladonia pyxidata","Plot_34",2
"Cladonia pyxidata","Plot_37",3
"Cladonia pyxidata","Plot_39",13
"Cladonia pyxidata","Plot_45",1
"Cladonia pyxidata","Plot_50",3
"Silene otites aggr.","Plot_26",2
"Silene otites aggr.","Plot_43",13
"Euphorbia seguieriana","Plot_33",1
"Lactuca viminea","Plot_9",1
"Lactuca viminea","Plot_13",1
"Lactuca viminea","Plot_20",3
"Cladonia sp.","Plot_46",3
"Lactuca serriola","Plot_45",1
"Cladonia pocillum","Plot_32",2
"Orthotrichum anomalum","Plot_8",2
"Orthotrichum anomalum","Plot_17",2
"Orthotrichum anomalum","Plot_27",13
"Tortella tortuosa","Plot_10",2
"Tortella tortuosa","Plot_19",1
"Tortella tortuosa","Plot_21",13
"Tortella tortuosa","Plot_22",3
"Tortella tortuosa","Plot_34",2
"Tortella tortuosa","Plot_45",1
"Tortella tortuosa","Plot_49",1
"Homalothecium sericeum","Plot_8",2
"Homalothecium sericeum","Plot_10",13
"Homalothecium sericeum","Plot_22",3
"Homalothecium sericeum","Plot_27",3
"Homalothecium sericeum","Plot_34",13
"Homalothecium sericeum","Plot_44",38
"Homalothecium sericeum","Plot_45",1
"Elytrigia intermedia","Plot_39",1
"Elytrigia intermedia","Plot_45",1
"Ptychostomum imbricatulum","Plot_35",13
"Ptychostomum imbricatulum","Plot_36",13
"Securigera varia","Plot_14",2
"Securigera varia","Plot_36",2
"Securigera varia","Plot_40",2
"Cerastium arvense","Plot_44",2
"Hypericum perfoliatum","Plot_38",1
"Hypericum perfoliatum","Plot_42",1
"Potentilla argentea aggr.","Plot_9",2
"Potentilla argentea aggr.","Plot_13",2
"Potentilla argentea aggr.","Plot_32",2
"Potentilla argentea aggr.","Plot_40",2
"Potentilla argentea aggr.","Plot_45",1
"Sempervivum sp.","Plot_26",2
"Setaria viridis","Plot_1",2
"Bromopsis erecta","Plot_37",3
"Peltigera rufescens","Plot_40",2
"Arabis auriculata","Plot_38",3
"Plantago lanceolata","Plot_36",2
"Plantago lanceolata","Plot_41",2
"Plantago lanceolata","Plot_49",1
"Rumex acetosella","Plot_28",2
"Rumex acetosella","Plot_40",2
"Rumex acetosella","Plot_41",2
"Thalloidima candidum","Plot_22",2
"Thalloidima candidum","Plot_27",2
"Salvia verticillata","Plot_2",1
"Salvia verticillata","Plot_4",3
"Salvia verticillata","Plot_21",3
"Salvia verticillata","Plot_47",1
"Salvia verticillata","Plot_49",1
"Viola arvensis aggr.","Plot_1",2
"Viola arvensis aggr.","Plot_12",1
"Geranium columbinum","Plot_6",2
"Minuartia rubra","Plot_25",3
"Minuartia rubra","Plot_29",2
"Abietinella abietina","Plot_6",1
"Abietinella abietina","Plot_22",3
"Abietinella abietina","Plot_35",2
"Abietinella abietina","Plot_37",3
"Abietinella abietina","Plot_39",13
"Abietinella abietina","Plot_42",2
"Abietinella abietina","Plot_44",3
"Abietinella abietina","Plot_45",13
"Abietinella abietina","Plot_46",38
"Abietinella abietina","Plot_49",2
"Abietinella abietina","Plot_50",13
"Potentilla cinerea aggr.","Plot_17",2
"Potentilla cinerea aggr.","Plot_25",3
"Potentilla cinerea aggr.","Plot_33",1
"Potentilla cinerea aggr.","Plot_35",3
"Potentilla cinerea aggr.","Plot_42",2
"Potentilla cinerea aggr.","Plot_44",2
"Potentilla cinerea aggr.","Plot_45",2
"Potentilla cinerea aggr.","Plot_47",13
"Potentilla cinerea aggr.","Plot_49",13
"Tortella inclinata","Plot_44",3
"Arenaria serpyllifolia aggr.","Plot_26",2
"Arenaria serpyllifolia aggr.","Plot_29",2
"Arenaria serpyllifolia aggr.","Plot_35",1
"Arenaria serpyllifolia aggr.","Plot_37",13
"Arenaria serpyllifolia aggr.","Plot_38",1
"Arenaria serpyllifolia aggr.","Plot_39",1
"Arenaria serpyllifolia aggr.","Plot_40",2
"Arenaria serpyllifolia aggr.","Plot_41",13
"Arenaria serpyllifolia aggr.","Plot_42",3
"Arenaria serpyllifolia aggr.","Plot_44",3
"Arenaria serpyllifolia aggr.","Plot_45",1
"Arenaria serpyllifolia aggr.","Plot_47",1
"Arenaria serpyllifolia aggr.","Plot_50",13
"Tortella squarrosa","Plot_27",2
"Saxifraga tridactylites","Plot_33",1
"Poa badensis aggr.","Plot_25",3
"Poa badensis aggr.","Plot_33",1
"Racomitrium canescens","Plot_9",13
"Racomitrium canescens","Plot_13",13
"Racomitrium canescens","Plot_20",3
"Teucrium botrys","Plot_4",2
"Teucrium botrys","Plot_9",2
"Teucrium botrys","Plot_11",3
"Teucrium botrys","Plot_13",2
"Teucrium botrys","Plot_41",2
"Artemisia pontica","Plot_23",2
"Peltigera sp.","Plot_46",3
"Artemisia austriaca","Plot_39",1
"Artemisia austriaca","Plot_46",1
"Teucrium montanum","Plot_33",1
"Rhytidium rugosum","Plot_37",3
"Rhytidium rugosum","Plot_39",1
"Rhytidium rugosum","Plot_45",1
"Rhytidium rugosum","Plot_46",3
"Rhytidium rugosum","Plot_50",3
"Tortula muralis","Plot_8",67
"Tortula muralis","Plot_22",2
"Tortula muralis","Plot_28",3
"Tortula muralis","Plot_37",3
"Melilotus officinalis","Plot_21",3
"Medicago prostrata","Plot_50",2
"Campanula rotundifolia aggr.","Plot_15",2
"Campanula rotundifolia aggr.","Plot_27",2
"Campanula rotundifolia aggr.","Plot_28",2
"Petrorhagia prolifera","Plot_41",13
"Petrorhagia prolifera","Plot_44",2
"Linum catharticum","Plot_42",2
"Scabiosa lucida","Plot_24",2
"Bromus hordeaceus","Plot_41",13
"Reseda lutea","Plot_35",1
"Hypnum cupressiforme","Plot_12",13
"Hypnum cupressiforme","Plot_22",3
"Hypnum cupressiforme","Plot_32",2
"Polytrichum piliferum","Plot_28",13
"Geranium robertianum","Plot_7",1
"Geranium robertianum","Plot_10",2
"Geranium robertianum","Plot_11",2
"Geranium robertianum","Plot_12",1
"Geranium robertianum","Plot_16",2
"Geranium robertianum","Plot_18",13
"Geranium robertianum","Plot_24",3
"Geranium robertianum","Plot_35",1
"Euphorbia cyparissias","Plot_9",2
"Euphorbia cyparissias","Plot_13",2
"Euphorbia cyparissias","Plot_15",2
"Euphorbia cyparissias","Plot_20",2
"Euphorbia cyparissias","Plot_21",2
"Euphorbia cyparissias","Plot_22",2
"Euphorbia cyparissias","Plot_35",38
"Euphorbia cyparissias","Plot_36",13
"Euphorbia cyparissias","Plot_42",2
"Euphorbia cyparissias","Plot_43",3
"Euphorbia cyparissias","Plot_44",2
"Euphorbia cyparissias","Plot_46",1
"Euphorbia cyparissias","Plot_49",1
"Euphorbia cyparissias","Plot_50",3
"Pimpinella saxifraga aggr.","Plot_21",2
"Pimpinella saxifraga aggr.","Plot_37",2
"Pimpinella saxifraga aggr.","Plot_47",1
"Leontodon incanus","Plot_2",2
"Leontodon incanus","Plot_19",1
"Ranunculus bulbosus","Plot_36",1
"Cytisus hirsutus aggr.","Plot_19",3
"Androsace maxima","Plot_34",1
"Veronica prostrata","Plot_49",1
"Viola rupestris","Plot_19",1
"Anthericum ramosum","Plot_2",2
"Anthericum ramosum","Plot_33",1
"Anthericum ramosum","Plot_50",2
"Fraxinus ornus","Plot_12",1
"Prunus spinosa","Plot_47",2
"Veronica spicata aggr.","Plot_41",3
"Silene viscaria","Plot_12",1
"Silene viscaria","Plot_40",2
"Galium pumilum aggr.","Plot_31",2
"Bupleurum falcatum","Plot_38",1
"Encalypta vulgaris","Plot_17",2
"Verbascum lychnitis","Plot_1",1
"Verbascum lychnitis","Plot_5",2
"Verbascum lychnitis","Plot_41",3
"Verbascum lychnitis","Plot_45",1
"Verbascum lychnitis","Plot_47",3
"Fissidens dubius","Plot_22",2
"Dermatocarpon miniatum","Plot_27",2
"Pilosella echioides","Plot_45",1
"Pilosella echioides","Plot_49",1
"Cichorium intybus","Plot_39",1
"Diplotaxis sp.","Plot_33",1
"Drabella muralis","Plot_26",2
"Jacobaea vulgaris","Plot_45",1
"Capsella bursa-pastoris","Plot_37",2
"Hieracium schmidtii","Plot_5",1
"Fumana procumbens","Plot_33",1
"Anthriscus cerefolium","Plot_12",1
"Dianthus sylvestris","Plot_19",3
"Carex humilis","Plot_49",1
"Knautia arvensis","Plot_42",2
"Crataegus monogyna aggr.","Plot_40",2
"Crataegus monogyna aggr.","Plot_49",1
"Rosa canina aggr.","Plot_15",2
"Linum tenuifolium","Plot_33",1
