genus,name,date,habitat,ecol
Clitocybe,Clitocybe sp.,2010-11-01,T1.2,St
Hebeloma,Hebeloma sp.,2010-11-01,T1.2,Hu
Galerina,Galerina sp.,2010-11-01,T1.2,M
Laccaria,Laccaria proxima,2010-11-01,T1.2,Mr
Clitocybe,Clitocybe metachroa,2010-11-01,T1.2,St
Lepista,Lepista flaccida,2010-11-01,T1.2,St
Rickenella,Rickenella fibula,2010-11-01,T1.2,M
Chlorophyllum,Chlorophyllum rachodes,2010-11-01,T1.2,Hu
Lyophyllum,Lyophyllum sp.,2010-11-01,A2.6,Hu
Stropharia,Stropharia aeruginosa,2010-11-02,UW3.3,Hu
Mycena,Mycena inclinata,2010-11-02,UW1.1,Lh
Mycena,Mycena polygramma,2010-11-02,UW1.1,Lh
Mycena,Mycena sp.,2010-11-02,UW1.1,St
Psathyrella,Psathyrella sp.,2010-11-02,UW1.1,Le
Tubaria,Tubaria furfuracea,2010-11-02,UW1.1,Le
Mycena,Mycena galericulata,2010-11-02,UW1.1,Le
Clitocybe,Clitocybe sp.,2010-11-02,UW1.1,St
Clitocybe,Clitocybe sp.,2010-11-02,UW1.1,St
Clitocybe,Clitocybe sp.,2010-11-02,UW1.1,St
Clitocybe,Clitocybe sp.,2010-11-02,UW1.1,St
Clitocybe,Clitocybe sp.,2010-11-02,UW1.1,Lh
Psathyrella,Psathyrella sp.,2010-11-02,UW1.1,Hu
Armillaria,Armillaria mellea,2010-11-02,UW1.1,Lh
Mycena,Mycena polygramma,2010-11-02,UW1.1,Lh
Entoloma,Entoloma sp.,2010-11-02,UW1.1,Mr
Galerina,Galerina marginata,2010-11-02,UW1.1,Le
Pseudoclitocybe,Pseudoclitocybe cyathiformis,2010-11-02,UW1.1,Hu
Inocybe,Inocybe sp.,2010-11-02,UW1.1,Mr
Entoloma,Entoloma tjallingiorum,2010-11-02,UW1.1,Co
Pholiota,Pholiota tuberculosa,2010-11-02,UW1.1,Le
Mycena,Mycena galericulata,2010-11-02,UW1.1,Lh
Mycena,Mycena polygramma,2010-11-02,UW1.1,Lh
Mycena,Mycena vitilis,2010-11-02,UW1.1,Lh
Pholiota,Pholiota sp.,2010-11-02,UW1.1,Hu
Inocybe,Inocybe maculata,2010-11-02,UW1.1,Mr
Armillaria,Armillaria lutea,2010-11-02,UW1.1,Lh
Pseudoclitocybe,Pseudoclitocybe cyathiformis,2010-11-02,UW3.3,Hu
Hebeloma,Hebeloma sp.,2010-11-02,UW3.3,Hu
Flammulina,Flammulina velutipes,2010-11-06,UW1.1,Le
Psathyrella,Psathyrella sp.,2010-11-06,UW1.1,St
Rickenella,Rickenella fibula,2010-11-06,T9,M
Crepidotus,Crepidotus epibryus,2010-11-06,T9,Fd
Mycena,Mycena vitilis,2010-11-06,T9,Lh
Mycena,Mycena sp.,2010-11-06,T9,St
Clitocybe,Clitocybe sp.,2010-11-06,T9,Le
Stropharia,Stropharia aeruginosa,2010-11-06,T9,Hu
Mycena,Mycena galericulata,2010-11-06,T9,Le
Hebeloma,Hebeloma sp.,2010-11-06,T9,Mr
Clitocybe,Clitocybe clavipes,2010-11-06,T9,St
Armillaria,Armillaria mellea,2010-11-06,T9,Le
Flammulina,Flammulina velutipes,2010-11-06,T9,Le
Mycena,Mycena polyadelpha,2010-11-06,UW1.1,Fd
Marasmius,Marasmius bulliardii,2010-11-06,UW1.1,Fd
Mycena,Mycena sp.,2010-11-06,UW1.1,St
Resupinatus,Resupinatus applicatus,2010-11-06,UW1.1,Le
Lepista,Lepista flaccida,2010-11-06,UW1.1,St
Armillaria,Armillaria lutea,2010-11-06,UW1.1,Le
Mycena,Mycena polygramma,2010-11-06,UW1.1,Lh
Naucoria,Naucoria sp.,2010-11-06,UW1.1,Le
Mycena,Mycena polyadelpha,2010-11-06,UW1.1,Fd
Mycena,Mycena inclinata,2010-11-06,UW1.1,Le
Xerocomellus,Xerocomellus chrysenteron,2010-11-06,T1.2,Mr
Psathyrella,Psathyrella sp.,2010-11-06,T1.2,Hu
Mycena,Mycena polygramma,2010-11-06,T1.2,Lh
Laccaria,Laccaria laccata,2010-11-06,T1.2,Mr
Rhodocollybia,Rhodocollybia butyracea f. asema,2010-11-06,T1.2,St
Mycena,Mycena epipterygia var. viscosa,2010-11-06,T1.2,St
Cystoderma,Cystoderma amianthinum,2010-11-06,T1.2,St
Armillaria,Armillaria mellea,2010-11-06,UW1.5,Le
Russula,Russula sp.,2010-11-06,UW1.5,Mr
Crepidotus,Crepidotus subverrucisporus,2010-11-06,UW1.5,Le
Mycena,Mycena inclinata,2010-11-06,UW1.5,Le
Hypholoma,Hypholoma fasciculare,2010-11-06,UW1.5,Le
Mycena,Mycena meliigena,2010-11-06,UW1.5,Co
Mycena,Mycena vitilis,2010-11-06,UW1.5,Lh
Panellus,Panellus stipticus,2010-11-06,UW1.5,Le
Mycena,Mycena polyadelpha,2010-11-06,UW1.5,Fd
Mycena,Mycena polyadelpha,2010-11-06,UW1.5,Fd
Mycena,Mycena sp.,2010-11-06,UW1.1,St
Pluteus,Pluteus sp.,2010-11-06,UW1.1,Le
Mycena,Mycena vitilis,2010-11-06,UW1.1,Lh
Armillaria,Armillaria mellea,2010-11-06,UW1.1,Le
Pleurotus,Pleurotus ostreatus,2010-11-06,UW1.1,Le
Armillaria,Armillaria mellea,2010-11-06,UW1.1,Le
Mycena,Mycena polygramma,2010-11-06,UW1.1,Lh
Pseudoclitocybe,Pseudoclitocybe cyathiformis,2010-11-06,UW1.1,Hu
Mycena,Mycena galericulata,2010-11-06,UW1.1,Le
Clitocybe,Clitocybe marginella,2010-11-06,UW1.1,St
Armillaria,Armillaria mellea,2010-11-06,UW1.1,Le
Mycena,Mycena inclinata,2010-11-06,UW1.1,Le
Mycena,Mycena galericulata,2010-11-06,UW1.1,Le
Mycena,Mycena vitilis,2010-11-06,UW1.1,Lh
Mycena,Mycena polyadelpha,2010-11-06,UW1.1,Fd
Laccaria,Laccaria laccata,2010-11-06,T2.4,Mr
Mycena,Mycena vitilis,2010-11-06,T2.4,Lh
Gymnopus,Gymnopus sp.,2010-11-06,T2.4,Lh
Pluteus,Pluteus pouzarianus,2010-11-06,T2.4,Le
Galerina,Galerina sideroides,2010-11-06,T2.4,Le
Clitocybe,Clitocybe sp.,2010-11-06,T2.4,St
Laccaria,Laccaria laccata,2010-11-06,T2.4,Mr
Hygrophoropsis,Hygrophoropsis aurantiaca,2010-11-06,T2.4,Hu
Galerina,Galerina sideroides,2010-11-06,T2.4,Le
Laccaria,Laccaria laccata,2010-11-06,T2.4,Mr
Mycena,Mycena purpureofusca,2010-11-06,T2.4,St
Mycena,Mycena vitilis,2010-11-06,T2.4,Lh
Mycena,Mycena sp.,2010-11-06,T2.4,Le
Chlorophyllum,Chlorophyllum rachodes,2010-11-06,FP2.3,St
Mycena,Mycena galericulata,2010-11-06,FP2.3,Le
Hebeloma,Hebeloma sp.,2010-11-06,FP2.3,Mr
Mycena,Mycena sp.,2010-11-06,FP2.3,Co
Galerina,Galerina sp.,2010-11-06,FP2.3,St
Pleurotus,Pleurotus ostreatus,2010-11-06,UW2.1,Le
Armillaria,Armillaria mellea,2010-11-06,UW2.1,Le
Mycena,Mycena galericulata,2010-11-06,UW2.1,Le
Flammulina,Flammulina velutipes,2010-11-06,UW2.1,Le
Galerina,Galerina sp.,2010-11-06,UW2.1,St
Mycena,Mycena polygramma,2010-11-06,UW2.1,Lh
Chlorophyllum,Chlorophyllum rachodes,2010-11-06,UW2.1,Hu
Crepidotus,Crepidotus mollis,2010-11-06,UW2.1,Le
Crepidotus,Crepidotus mollis,2010-11-06,UW2.1,Le
Panellus,Panellus stipticus,2010-11-06,UW2.1,Le
Pleurotus,Pleurotus pulmonarius,2010-11-06,UW2.1,Le
Crepidotus,Crepidotus mollis,2010-11-06,UW2.1,Le
Pleurotus,Pleurotus ostreatus,2010-11-06,UW2.1,Le
Lepiota,Lepiota cristata,2010-11-06,UW2.1,St
Mycena,Mycena vitilis,2010-11-06,UW2.1,Lh
Mycena,Mycena polyadelpha,2010-11-06,UW1.3,Fd
Mycena,Mycena polyadelpha,2010-11-06,UW1.3,Fd
Marasmius,Marasmius bulliardii,2010-11-06,UW1.3,Fd
Crepidotus,Crepidotus epibryus,2010-11-06,UW1.3,He
Hygrophorus,Hygrophorus eburneus,2010-11-06,UW1.3,Mr
Mycena,Mycena inclinata,2010-11-06,UW1.3,Le
Mycena,Mycena vitilis,2010-11-06,UW1.3,Lh
Mycena,Mycena polyadelpha,2010-11-06,UW1.3,Fd
Agaricus,Agaricus sp.,2010-11-06,UW1.3,Hu
Clitocybe,Clitocybe sp.,2010-11-06,UW1.3,St
Cortinarius,Cortinarius sp.,2010-11-06,UW1.1,Mr
Mycena,Mycena inclinata,2010-11-06,UW1.3,Le
Pseudoclitocybe,Pseudoclitocybe cyathiformis,2010-11-06,UW1.3,Hu
Mycena,Mycena polygramma,2010-11-06,UW1.3,Lh
Mycena,Mycena vitilis,2010-11-06,UW1.3,Lh
Resupinatus,Resupinatus applicatus,2010-11-06,UW1.3,Le
Mycena,Mycena polyadelpha,2010-11-06,UW1.3,Fd
Crepidotus,Crepidotus mollis,2010-11-06,UW1.3,Le
Entoloma,Entoloma tjallingiorum,2010-11-06,UW1.3,Hu
Mycena,Mycena purpureofusca,2010-11-15,T2.4,Lh
Hypholoma,Hypholoma lateritium,2010-11-15,T2.4,Lh
Mycena,Mycena polygramma,2010-11-15,T2.4,Lh
Galerina,Galerina sideroides,2010-11-15,T2.4,St
Clitocybe,Clitocybe metachroa,2010-11-15,T2.4,St
Hygrophorus,Hygrophorus arbustivus,2010-11-21,UW1.3,Mr
Rhodocollybia,Rhodocollybia butyracea f. asema,2010-11-25,T2.3,St
Clitocybe,Clitocybe metachroa,2010-11-25,T2.3,St
Mycena,Mycena purpureofusca,2010-11-25,T2.3,Le
Hygrophorus,Hygrophorus hyphotejus,2010-11-25,T2.3,Mr
Imleria,Imleria badia,2010-11-25,T2.3,Mr
Russula,Russula sp.,2010-11-25,T2.3,Mr
Mycena,Mycena metata,2010-11-25,T2.3,St
Cystodermella,Cystodermella cinnabarina,2010-11-25,T2.3,Hu
Baeospora,Baeospora myosura,2010-11-25,T2.1,Str
Clitocybe,Clitocybe marginella,2010-11-25,T2.1,St
Galerina,Galerina vittiformis,2010-11-25,T2.1,M
Psilocybe,Psilocybe montana,2010-11-25,T2.1,M
Laccaria,Laccaria laccata,2010-11-25,T2.1,Mr
Gymnopus,Gymnopus androsaceus,2010-11-25,T2.1,Fd
Mycena,Mycena metata,2010-11-25,T2.1,St
Clitopilus,Clitopilus caelatus,2010-11-25,T2.1,Hu
Xeromphalina,Xeromphalina cauticinalis var. subfellea,2010-11-25,T2.1,Str
Mycena,Mycena epipterygia var. viscosa,2010-11-25,T2.1,St
Mycena,Mycena metata,2010-11-25,T2.1,St
Mycena,Mycena purpureofusca,2010-11-25,T2.1,Le
Hebeloma,Hebeloma sp.,2010-11-25,T2.1,Mr
Lepista,Lepista nebularis,2010-11-25,T2.1,St
Rhodocollybia,Rhodocollybia butyracea f. asema,2010-11-25,T2.3,St
Laccaria,Laccaria laccata,2010-11-25,T2.3,Mr
Psilocybe,Psilocybe montana,2010-11-25,T2.3,M
Clitocybe,Clitocybe marginella,2010-11-25,T2.3,St
Clitocybe,Clitocybe metachroa,2010-11-25,T2.3,St
Mycena,Mycena metata,2010-11-25,T2.3,St
Mycena,Mycena epipterygia var. viscosa,2010-11-25,T2.3,Lh
Mycena,Mycena metata,2010-11-25,T2.3,St
Rhodocollybia,Rhodocollybia butyracea f. butyracea,2010-11-25,T2.3,St
Clitocybe,Clitocybe marginella,2010-11-25,T2.3,St
Mycena,Mycena purpureofusca,2010-11-25,T2.3,Lh
Rhodocollybia,Rhodocollybia butyracea f. asema,2010-11-25,T2.3,St
Clitocybe,Clitocybe marginella,2010-11-25,T2.3,St
Gymnopus,Gymnopus putillus,2010-11-25,T2.3,St
Mycena,Mycena epipterygia var. viscosa,2010-11-25,T2.4,St
Mycena,Mycena purpureofusca,2010-11-25,T2.4,Le
Rhodocollybia,Rhodocollybia butyracea f. asema,2010-11-25,T2.4,St
Mycena,Mycena metata,2010-11-25,T2.4,St
Marasmius,Marasmius scorodonius,2010-11-25,T2.4,St
Clitocybe,Clitocybe marginella,2010-11-25,T2.4,St
Gymnopilus,Gymnopilus penetrans,2010-11-25,T2.4,Le
Myxomphalia,Myxomphalia maura,2010-11-25,T7.1,Ca
Rickenella,Rickenella fibula,2010-11-25,T7.5,M
Psilocybe,Psilocybe montana,2010-11-25,T7.5,Hu
Marasmius,Marasmius scorodonius,2010-11-25,T7.5,St
Psilocybe,Psilocybe montana,2010-11-25,T7.2,Hu
Marasmius,Marasmius oreades,2010-11-25,T7.2,St
Marasmius,Marasmius scorodonius,2010-11-25,T7.2,St
Imleria,Imleria badia,2010-11-25,T1.2,Mr
Gymnopus,Gymnopus peronatus,2010-11-25,T1.2,St
Clitocybe,Clitocybe metachroa,2010-11-25,T1.2,St
Mycena,Mycena epipterygia var. viscosa,2010-11-25,T1.2,St
Cystodermella,Cystodermella cinnabarina,2010-11-25,T1.2,St
Mycena,Mycena purpureofusca,2010-11-25,T1.2,Le
Mycena,Mycena metata,2010-11-25,T1.2,St
Baeospora,Baeospora myosura,2010-11-25,T1.2,Str
Mycena,Mycena inclinata,2010-11-25,T1.2,Le
Lepista,Lepista flaccida,2010-11-25,T1.2,St
Mycena,Mycena galericulata,2010-11-25,T7.4,Le
Mycena,Mycena purpureofusca,2010-11-25,T7.4,Le
Mycena,Mycena viridimarginata,2010-11-25,T7.4,Le
Hypholoma,Hypholoma lateritium,2010-11-25,T7.4,Le
Marasmius,Marasmius scorodonius,2010-11-25,T7.4,St
Clitocybe,Clitocybe sp.,2010-11-25,T1.2,St
Clitocybe,Clitocybe marginella,2010-11-25,T9,St
Lepista,Lepista flaccida,2010-11-25,T9,St
Hypholoma,Hypholoma lateritium,2010-11-25,T7.2,Lh
Hygrophorus,Hygrophorus sp.,2010-11-25,T9,Mr
Cortinarius,Cortinarius sp.,2010-11-25,T9,Mr
Mycena,Mycena polygramma,2010-11-25,T9,Lh
Mycena,Mycena inclinata,2010-11-25,T9,Lh
Mycena,Mycena pseudocorticola,2010-11-25,T9,Co
Mycena,Mycena inclinata,2010-11-25,T9,Le
Lepista,Lepista nebularis,2010-11-25,T9,St
Mycena,Mycena vitilis,2010-11-25,T9,Lh
Hypholoma,Hypholoma lateritium,2010-11-25,T9,Lh
Rhodocollybia,Rhodocollybia butyracea f. asema,2010-11-25,T9,St
Pleurotus,Pleurotus pulmonarius,2010-11-26,T3.1,Le
Gymnopus,Gymnopus peronatus,2010-11-26,T3.1,St
Marasmius,Marasmius scorodonius,2010-11-26,T3.1,St
Clitocybe,Clitocybe marginella,2010-11-26,T3.1,St
Hypholoma,Hypholoma fasciculare,2010-11-26,T3.1,Lh
Mycena,Mycena purpureofusca,2010-11-26,T1.1,Lh
Mycena,Mycena inclinata,2010-11-26,T1.1,Le
Mycena,Mycena metata,2010-11-26,T1.1,St
Gymnopus,Gymnopus androsaceus,2010-11-26,T1.1,Fd
Clitocybe,Clitocybe metachroa,2010-11-26,T1.1,St
Mycena,Mycena citrinomarginata,2010-11-26,T1.1,St
Hygrophorus,Hygrophorus hyphotejus,2010-11-26,T2.3,Mr
Mycena,Mycena sp.,2010-11-26,T2.1,St
Mycena,Mycena epipterygia var. viscosa,2010-11-26,T2.1,St
Mycena,Mycena metata,2010-11-26,T2.1,St
Gymnopus,Gymnopus androsaceus,2010-11-26,T2.1,Fd
Clitocybe,Clitocybe marginella,2010-11-26,T2.1,St
Rhodocollybia,Rhodocollybia butyracea f. asema,2010-11-26,T2.1,St
Mycena,Mycena purpureofusca,2010-11-26,T2.1,Lh
Clitocybe,Clitocybe phyllophila,2010-11-26,T2.1,St
Cortinarius,Cortinarius sp.,2010-11-26,T2.1,Mr
Psilocybe,Psilocybe montana,2010-11-26,T2.1,M
Mycena,Mycena metata,2010-11-26,T2.1,St
Rhodocollybia,Rhodocollybia butyracea f. butyracea,2010-11-26,T2.1,St
Galerina,Galerina marginata,2010-11-26,T2.1,Le
Hygrophorus,Hygrophorus hyphotejus,2010-11-26,T2.1,Mr
Clitocybe,Clitocybe phyllophila,2010-11-26,T2.1,St
Clitocybe,Clitocybe metachroa,2010-11-26,T2.3,St
Mycena,Mycena metata,2010-11-26,T2.3,St
Cortinarius,Cortinarius sp.,2010-11-26,T2.3,Mr
Lactarius,Lactarius camphoratus,2010-11-26,T2.3,Mr
Rhodocollybia,Rhodocollybia butyracea f. butyracea,2010-11-26,T2.3,St
Armillaria,Armillaria sp.,2010-11-26,FP2.3,Le
Coprinellus,Coprinellus domesticus,2010-11-26,FP2.3,Hu
Gymnopilus,Gymnopilus penetrans,2010-11-26,T2.3,St
Gymnopus,Gymnopus putillus,2010-11-26,T2.3,St
Mycena,Mycena metata,2010-11-26,T2.3,St
Clitocybe,Clitocybe metachroa,2010-11-26,T2.3,St
Tricholoma,Tricholoma equestre,2010-11-26,T2.3,Mr
Lactarius,Lactarius camphoratus,2010-11-26,T2.3,Mr
Mycena,Mycena purpureofusca,2010-11-26,T2.3,Lh
Clitocybe,Clitocybe marginella,2010-11-26,T2.3,St
Mycena,Mycena metata,2010-11-26,T2.3,St
Gymnopus,Gymnopus putillus,2010-11-26,T2.3,St
Galerina,Galerina marginata,2010-11-26,T2.3,St
Clitocybe,Clitocybe metachroa,2010-11-26,T2.3,St
Hygrophorus,Hygrophorus hyphotejus,2010-11-26,T2.3,Mr
Gymnopus,Gymnopus sp.,2010-11-26,T2.3,St
Clitocybe,Clitocybe marginella,2010-11-26,T2.3,St
Gymnopilus,Gymnopilus penetrans,2010-11-26,T2.3,Le
Mycena,Mycena metata,2010-11-26,T2.3,St
Rhodocollybia,Rhodocollybia butyracea f. butyracea,2010-11-26,T2.3,St
Gymnopus,Gymnopus androsaceus,2010-11-26,T2.3,Fd
Galerina,Galerina vittiformis,2010-11-26,T2.3,M
Mycena,Mycena metata,2010-11-26,T2.3,St
Galerina,Galerina marginata,2010-11-26,T2.3,Le
Lepista,Lepista flaccida,2010-11-26,T2.3,St
Gymnopus,Gymnopus sp.,2010-11-26,T2.3,St
Clitocybe,Clitocybe marginella,2010-11-26,T2.3,St
Gymnopus,Gymnopus androsaceus,2010-11-26,T2.3,Fd
Mycena,Mycena metata,2010-11-26,T2.4,St
Mycena,Mycena purpureofusca,2010-11-26,T2.4,Lh
Mycena,Mycena epipterygia var. viscosa,2010-11-26,T2.4,St
Gymnopus,Gymnopus androsaceus,2010-11-26,T2.4,Fd
Lepista,Lepista flaccida,2010-11-26,T2.4,St
Rhodocollybia,Rhodocollybia butyracea f. butyracea,2010-11-26,T2.4,St
Galerina,Galerina marginata,2010-11-26,T2.4,St
Rhodocollybia,Rhodocollybia butyracea f. asema,2010-11-26,T2.4,St
Clitocybe,Clitocybe sp.,2010-11-27,UW4.1,Hu
Tubaria,Tubaria sp.,2010-11-27,UW4.1,Hu
Rickenella,Rickenella fibula,2010-11-27,UW4.1,M
Conocybe,Conocybe sp.,2010-11-27,UW4.1,M
Tubaria,Tubaria furfuracea,2010-11-27,UW1.1,Le
Pleurotus,Pleurotus pulmonarius,2010-11-27,UW1.1,Le
Clitocybe,Clitocybe sp.,2010-11-27,UW1.1,Le
Tubaria,Tubaria furfuracea,2010-11-27,UW1.1,Le
Clitocybe,Clitocybe sp.,2010-11-27,UW1.1,St
Gymnopus,Gymnopus sp.,2010-11-27,UW1.1,St
Mycena,Mycena vitilis,2010-11-27,UW1.1,Lh
Tubaria,Tubaria sp.,2010-11-27,UW2.1,Le
Pleurotus,Pleurotus ostreatus,2010-11-27,UW2.1,Le
Mycena,Mycena sp.,2010-11-27,UW2.1,Le
Mycena,Mycena polygramma,2010-11-27,UW1.1,Lh
Flammulina,Flammulina velutipes,2010-11-27,UW1.1,Le
Mycena,Mycena galericulata,2010-11-27,UW1.1,Le
Armillaria,Armillaria mellea,2010-11-27,UW1.1,Le
Crepidotus,Crepidotus mollis,2010-11-27,UW1.1,Le
Pluteus,Pluteus sp.,2010-11-27,UW1.1,Lh
Hygrophorus,Hygrophorus arbustivus,2010-11-27,UW1.1,Mr
Tubaria,Tubaria furfuracea,2010-11-27,UW1.1,Le
Galerina,Galerina marginata,2010-11-27,UW1.1,Le
Mycena,Mycena galericulata,2010-11-27,UW1.3,Le
Mycena,Mycena polygramma,2010-11-27,UW1.3,Lh
Mycena,Mycena inclinata,2010-11-27,UW1.3,Le
Psathyrella,Psathyrella sp.,2010-11-27,UW2.1,Hu
Marasmius,Marasmius sp.,2010-11-27,UW2.1,Fd
Lepista,Lepista flaccida,2010-11-27,UW2.1,St
Hypholoma,Hypholoma fasciculare,2010-11-27,UW2.1,Lh
Hygrophorus,Hygrophorus arbustivus,2010-11-27,UW1.1,Mr
Mycena,Mycena galericulata,2010-11-27,UW1.1,Le
Lepista,Lepista flaccida,2010-11-27,UW1.1,St
Psathyrella,Psathyrella sp.,2010-11-27,UW1.1,St
Gymnopus,Gymnopus peronatus,2010-11-27,UW1.3,St
Mycena,Mycena inclinata,2010-11-27,UW1.3,Le
Mycena,Mycena polygramma,2010-11-27,UW1.3,Lh
Clitocybe,Clitocybe sp.,2010-11-27,UW1.3,St
Crepidotus,Crepidotus mollis,2010-11-27,UW1.3,Le
Mycena,Mycena galericulata,2010-11-27,UW1.3,Le
Gymnopus,Gymnopus peronatus,2010-11-27,UW1.3,St
Lepista,Lepista flaccida,2010-11-27,UW1.3,St
Mycena,Mycena galericulata,2010-11-27,UW1.3,Le
Crepidotus,Crepidotus sp.,2010-11-27,UW1.3,Le
Coprinellus,Coprinellus disseminatus,2010-11-27,UW1.1,Lh
Gymnopus,Gymnopus dryophilus,2010-11-28,UW3.3,St
Mycena,Mycena inclinata,2010-11-28,UW1.3,Le
Mycena,Mycena vitilis,2010-11-28,UW1.3,Lh
Mycena,Mycena meliigena,2010-11-28,UW1.3,Co
Hygrophorus,Hygrophorus arbustivus,2010-11-28,UW1.3,Mr
Mycena,Mycena vitilis,2010-11-28,UW1.3,Lh
Mycena,Mycena polyadelpha,2010-11-28,UW1.3,Fd
Crepidotus,Crepidotus mollis,2010-11-28,UW1.3,Le
Psathyrella,Psathyrella sp.,2010-11-28,UW1.3,Hu
Crepidotus,Crepidotus epibryus,2010-11-28,UW1.3,He
Mycena,Mycena polyadelpha,2010-11-28,UW1.3,Fd
Marasmius,Marasmius sp.,2010-11-28,UW1.3,Fd
Mycena,Mycena inclinata,2010-11-28,UW1.3,Lh
Flammulina,Flammulina velutipes,2010-11-28,UW1.3,Le
Pseudoclitocybe,Pseudoclitocybe cyathiformis,2010-11-28,FP2.2,Hu
Lepista,Lepista flaccida,2010-11-28,UW3.2,St
Rhodocollybia,Rhodocollybia butyracea f. butyracea,2010-11-28,UW3.2,St
Clitocybe,Clitocybe metachroa,2010-11-28,UW3.2,St
Galerina,Galerina marginata,2010-11-28,UW3.2,Le
Leucoagaricus,Leucoagaricus sp.,2010-11-28,UW3.2,St
Panellus,Panellus stipticus,2010-11-28,UW3.2,Le
Chlorophyllum,Chlorophyllum rachodes,2010-11-28,UW3.2,St
Baeospora,Baeospora myosura,2010-11-28,UW3.2,Str
Mycena,Mycena sp.,2010-11-28,UW3.2,St
Mycena,Mycena sp.,2010-11-28,UW3.2,Le
Baeospora,Baeospora myosura,2010-11-28,UW3.2,Str
Psathyrella,Psathyrella sp.,2010-11-28,UW4.3,Hu
Lepista,Lepista personata,2010-11-29,A2.7,Hu
Mycena,Mycena polygramma,2010-11-29,UW1.3,Lh
Lepista,Lepista flaccida,2010-11-29,UW1.3,St
Mycena,Mycena inclinata,2010-11-29,UW1.3,Le
Crepidotus,Crepidotus mollis,2010-11-29,UW1.3,Le
Mycena,Mycena vitilis,2010-11-29,UW1.3,Lh
Pleurotus,Pleurotus ostreatus,2010-11-29,UW2.1,Le
Marasmius,Marasmius rotula,2010-11-29,UW1.1,Fd
Crepidotus,Crepidotus epibryus,2010-11-29,UW1.1,St
Mycena,Mycena polyadelpha,2010-11-29,UW1.3,Fd
Marasmius,Marasmius rotula,2010-11-29,UW1.3,Fd
Crepidotus,Crepidotus epibryus,2010-11-29,UW1.3,St
Mycena,Mycena vitilis,2010-11-29,UW1.3,Lh
Mycena,Mycena polygramma,2010-11-29,UW1.3,Lh
Psathyrella,Psathyrella sp.,2010-11-29,UW1.3,Hu
Mycena,Mycena vitilis,2010-11-29,UW1.3,Lh
Clitocybe,Clitocybe sp.,2010-11-29,UW1.3,St
Mycena,Mycena inclinata,2010-11-29,UW1.3,Le
Marasmius,Marasmius rotula,2010-11-29,UW1.3,Fd
Armillaria,Armillaria mellea,2010-11-29,UW1.3,Le
Mycena,Mycena galericulata,2010-11-29,UW1.3,Le
Mycena,Mycena galericulata,2010-11-29,UW1.1,Le
Mycena,Mycena vitilis,2010-11-29,UW1.1,Lh
Gymnopus,Gymnopus dryophilus,2010-11-29,UW1.1,St
Crepidotus,Crepidotus mollis,2010-11-29,UW1.1,Le
Pseudoclitocybe,Pseudoclitocybe cyathiformis,2010-11-29,UW1.1,Hu
Hypholoma,Hypholoma fasciculare,2010-11-29,UW1.1,Lh
Laccaria,Laccaria laccata,2010-11-29,UW1.1,Mr
Mycena,Mycena vitilis,2010-11-29,UW1.1,Lh
Gymnopus,Gymnopus androsaceus,2010-12-27,T2.3,Fd
Mycena,Mycena metata,2010-12-27,T2.3,Le
